Date,Average Cost,
2013.01.26,37.91,
2013.01.27,33.09,
2013.01.28,43.00,
2013.01.29,48.67,
2013.01.30,30.51,
2013.01.31,51.62,
2013.02.01,36.27,
2013.02.02,41.70,
2013.02.03,56.02,
2013.02.04,48.43,
2013.02.05,32.95,
2013.02.06,43.60,
2013.02.07,48.90,
2013.02.08,47.24,
2013.02.09,41.71,
2013.02.10,34.44,
2013.02.11,36.88,
2013.02.12,47.09,
2013.02.13,50.09,
2013.02.14,46.75,
2013.02.15,48.18,
2013.02.16,39.62,
2013.02.17,36.92,
2013.02.18,48.37,
2013.02.19,48.23,
2013.02.20,49.37,
2013.02.21,50.21,
2013.02.22,48.60,
2013.02.23,42.11,
2013.02.24,33.40,
2013.02.25,46.22,
2013.02.26,50.31,
2013.02.27,55.78,
2013.02.28,44.19,
2013.03.01,47.16,
2013.03.02,38.92,
2013.03.03,33.76,
2013.03.04,46.58,
2013.03.05,43.61,
2013.03.06,44.92,
2013.03.07,39.22,
2013.03.08,36.69,
2013.03.09,31.56,
2013.03.10,19.66,
2013.03.11,32.70,
2013.03.12,45.73,
2013.03.13,46.27,
2013.03.14,38.81,
2013.03.15,39.84,
2013.03.16,30.15,
2013.03.17,12.32,
2013.03.18,40.19,
2013.03.19,43.09,
2013.03.20,47.47,
2013.03.21,47.55,
2013.03.22,37.62,
2013.03.23,21.78,
2013.03.24,13.03,
2013.03.25,36.39,
2013.03.26,42.61,
2013.03.27,41.52,
2013.03.28,50.53,
2013.03.29,37.84,
2013.03.30,38.03,
2013.03.31,27.86,
2013.04.01,24.57,
2013.04.02,49.30,
2013.04.03,44.57,
2013.04.04,43.27,
2013.04.05,49.98,
2013.04.06,43.66,
2013.04.07,30.68,
2013.04.08,56.18,
2013.04.09,53.75,
2013.04.10,53.51,
2013.04.11,55.51,
2013.04.12,47.04,
2013.04.13,28.08,
2013.04.14,17.81,
2013.04.15,35.65,
2013.04.16,43.89,
2013.04.17,42.36,
2013.04.18,26.55,
2013.04.19,33.63,
2013.04.20,26.55,
2013.04.21,16.83,
2013.04.22,36.32,
2013.04.23,31.94,
2013.04.24,33.86,
2013.04.25,32.86,
2013.04.26,30.22,
2013.04.27,29.29,
2013.04.28,20.78,
2013.04.29,32.19,
2013.04.30,34.84,
2013.05.01,13.48,
2013.05.02,29.55,
2013.05.03,33.44,
2013.05.04,25.96,
